ID,gender,frame,t(s),x(m),y(m),markerID
8,1,2280,91.2,0.8871,1.448,8
8,1,2281,91.24,0.9406,1.444,8
8,1,2282,91.28,0.9956,1.4457,8
8,1,2283,91.32,1.0512,1.4523,8
8,1,2284,91.36,1.1066,1.4597,8
8,1,2285,91.4,1.1611,1.4659,8
8,1,2286,91.44,1.215,1.4708,8
8,1,2287,91.48,1.2688,1.4741,8
8,1,2288,91.52,1.3221,1.4753,8
8,1,2289,91.56,1.3753,1.4741,8
8,1,2290,91.6,1.4281,1.4687,8
8,1,2291,91.64,1.4809,1.4612,8
8,1,2292,91.68,1.5341,1.4524,8
8,1,2293,91.72,1.5873,1.4429,8
8,1,2294,91.76,1.6421,1.4371,8
8,1,2295,91.8,1.6977,1.4366,8
8,1,2296,91.84,1.7532,1.4412,8
8,1,2297,91.88,1.8096,1.4484,8
8,1,2298,91.92,1.8638,1.4533,8
8,1,2299,91.96,1.9165,1.4573,8
8,1,2300,92.0,1.968,1.461,8
8,1,2301,92.04,2.0186,1.4628,8
8,1,2302,92.08,2.0694,1.4632,8
8,1,2303,92.12,2.1212,1.4605,8
8,1,2304,92.16,2.1723,1.454,8
8,1,2305,92.2,2.2243,1.4458,8
8,1,2306,92.24,2.2765,1.4374,8
8,1,2307,92.28,2.3298,1.4306,8
8,1,2308,92.32,2.3833,1.4277,8
8,1,2309,92.36,2.437,1.4304,8
8,1,2310,92.4,2.4914,1.4375,8
8,1,2311,92.44,2.5452,1.4444,8
8,1,2312,92.48,2.5979,1.4493,8
8,1,2313,92.52,2.6498,1.4526,8
8,1,2314,92.56,2.7009,1.4533,8
8,1,2315,92.6,2.7522,1.4518,8
8,1,2316,92.64,2.8038,1.4475,8
8,1,2317,92.68,2.8556,1.4403,8
8,1,2318,92.72,2.9081,1.4311,8
8,1,2319,92.76,2.9615,1.4204,8
8,1,2320,92.8,3.0159,1.4111,8
8,1,2321,92.84,3.0703,1.404,8
8,1,2322,92.88,3.1245,1.4035,8
